"Source:","D:\Mis documentos\Documentos\GitHub\Easyrun\Circuit Design\Final Schematic\Easyrun.kicad_sch"
"Date:","14/05/2022 3:37:33 p. m."
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","76"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","STANDARD"
"","","BProg1","SW_DIP_x02","Switch:SW_DIP_x01","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","~","","","",""
"","","BRst1","SW_DIP_x01","Switch:SW_DIP_x01","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","~","","","",""
"","","BT1","Battery_Cell","Device:Battery_Cell","Battery:BatteryHolder_MPD_BH-18650-PC2","~","","","",""
"","","BT2","Battery_Cell","Device:Battery_Cell","Battery:BatteryHolder_MPD_BH-18650-PC2","~","","","",""
"","","C1","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","",""
"","","C3","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","",""
"","","C_by1","10n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","",""
"","","C_by_2","C_Polarized","Device:C_Polarized","Capacitor_SMD:CP_Elec_6.3x5.8","~","","","",""
"","","C_cv1","10n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","",""
"","","CB1","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","",""
"","","CB2","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","",""
"","","CB3","22u","Device:C_Polarized","Capacitor_SMD:CP_Elec_6.3x5.8","~","","","",""
