Ref,Val,Package,PosX,PosY,Rot,Side
"B1","62409-1","TE_62409-1",121.320400,-94.177800,0.000000,top
"B1_1","62409-1","TE_62409-1",121.320400,-89.809000,0.000000,top
"B2","62409-1","TE_62409-1",136.052400,-94.177800,0.000000,top
"B2_1","62409-1","TE_62409-1",136.093200,-90.322400,0.000000,top
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.640000,-82.482500,-90.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.565000,-67.995000,90.000000,top
"CB1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",111.065000,-87.145000,180.000000,top
"CB2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.721200,-94.279400,0.000000,top
"CB4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.758000,-94.381000,0.000000,top
"CBat1","10u","CP_Elec_6.3x5.8",183.042400,-83.713000,180.000000,top
"CBy3","47u","CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder",148.244400,-114.345400,-90.000000,top
"CBy5","47u","CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder",156.728000,-121.051000,90.000000,top
"CByBa1","10u","CP_Elec_6.3x5.8",178.927600,-112.821400,0.000000,top
"C_by1","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",185.938000,-112.516600,90.000000,top
"C_cv1","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",193.050000,-113.532600,180.000000,top
"Cby2","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",197.368000,-112.770600,-90.000000,top
"Crec1","100u","CP_Radial_D6.3mm_P2.50mm",179.534000,-136.211621,-90.000000,top
"D1","1N5822","D_DO-201AE_P5.08mm_Vertical_AnodeUp",140.157600,-105.252200,180.000000,top
"D2","1N5822","D_DO-201AE_P5.08mm_Vertical_AnodeUp",166.146000,-108.009000,-90.000000,top
