"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J_Lector_2,J_Lector_1,J_Lector_3";"JST_EH_S8B-EH_1x08_P2.50mm_Horizontal";3;"Conn_01x08";;;
2;"FB1";"R_1812_4532Metric_Pad1.30x3.40mm_HandSolder";1;"FerriteBead";;;
3;"D1,DFly1,D3,D2,D_S1,DB3,DB5,D4,D_S2";"D_DO-201AE_P5.08mm_Vertical_AnodeUp";9;"1N5822";;;
4;"C1,CB4,CB1,C3,CB2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"100nF";;;
5;"Ra1,R_p1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"47";;;
6;"CBy3,CBy5";"CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder";2;"47u";;;
7;"J_gnd1,B1_1,J_Tap_1,B2_1,B2,B1,J_Tap_2";"TE_62409-1";7;"62409-1";;;
8;"LB3,Lb1,LB5";"L_Toroid_Vertical_L25.4mm_W14.7mm_P12.20mm_Vishay_TJ5_BigPads";3;"100u";;;
9;"RI2C1,R_Prog10,RI2C2,RMISO1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10k";;;
10;"R6,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"220";;;
11;"R_RED1,R_GREEN1,Ro1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1k";;;
12;"J_Display1";"JST_EH_S9B-EH_1x09_P2.50mm_Horizontal";1;"Conn_01x09";;;
13;"CBat1,CByBa1";"CP_Elec_6.3x5.8";2;"10u";;;
14;"U_ChargeControler1";"SOP127P600X175-9N";1;"TP4056";;;
15;"U_555";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM555xM";;;
16;"D_RED1,L_p1,D_GREEN1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"LED";;;
17;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
18;"QBoo1";"SOT-23";1;"SI2302";;;
19;"DBoo1";"D_DO-201AE_P5.08mm_Vertical_AnodeUp";1;"1N5819";;;
20;"C_cv1,C_by1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10n";;;
21;"UB3v3,UB5v0";"TO-263-5_TabPin3";2;"LM2576S-5";;;
22;"Crec1";"CP_Radial_D6.3mm_P2.50mm";1;"100u";;;
23;"R4,RBtn2,RBtn1,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10K";;;
24;"Cby2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1u";;;
25;"J_M2,J_M1";"JST_EH_S3B-EH_1x03_P2.50mm_Horizontal";2;"Conn_01x03";;;
26;"J_I2C1";"PinSocket_1x05_P2.54mm_Horizontal";1;"Conn_01x05_Male";;;
27;"J_prog1";"PinHeader_1x06_P2.54mm_Horizontal";1;"Conn_01x06_Male";;;
28;"Rb1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
29;"Lrec1";"L_Toroid_Vertical_L25.4mm_W14.7mm_P12.20mm_Vishay_TJ5_BigPads";1;"440m";;;
30;"BT1";"BatteryHolder_MPD_BH-18650-PC2";1;"Battery_Cell";;;
31;"CB5,CB3";"CP_Elec_6.3x5.8";2;"22u";;;
32;"C_b1";"CP_Elec_6.3x5.8";1;"C_Polarized";;;
33;"BRst1";"SW_SPST_CK_RS282G05A3";1;"SW_DIP_x01";;;
34;"BProg1";"SW_SPST_CK_RS282G05A3";1;"SW_DIP_x02";;;
35;"SWRec1";"PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left";1;"SW_DIP_x01";;;
